Datasety_Intenzita ŽD;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Počet vých vlakov;;;;Počet konč vlakov;;;;Počet tranz vlakov;;;;Počet vých vlakov;Počet konč vlakov;Počet tranz vlakov
;N;;O;;N;;O;;N;;O;;;;
Úplný názov dopravného bodu;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;;;
Rimavské Brezovo;;0;0;0;;0;0;0;;29;7505;4;0;0;7538
Rimavské Janovce;0;0;0;0;0;0;0;0;129;78;7525;6;0;0;7738
Rimavské Janovce obec;0;0;0;0;0;0;0;0;129;78;7526;6;0;0;7739
Rimavské Zalužany;0;0;0;0;0;0;0;0;53;92;7493;4;0;0;7642
Rišňovce;140;105;0;0;130;125;32;0;1049;522;15233;1;245;287;16805
Rochovce;;0;;;;0;;;;8;;;0;0;8
Rohožník;712;207;0;;775;148;0;;28;19;2;;919;923;49
Rovinka;0;0;0;;0;0;0;;4703;425;22572;;0;0;27700
Roštár;;0;;;;0;;;;8;;;0;0;8
Rožkovany;0;0;0;0;0;0;0;0;1634;977;13775;6;0;0;16392
Rožňava;98;294;3;3;23;293;17;6;1538;1077;6257;26;398;339;8898
Rožňava mesto;0;0;0;;0;0;0;;142;131;4;;0;0;277
Rožňava predmestie;0;0;0;;0;0;0;;142;131;4;;0;0;277
Rudina;0;0;0;0;0;0;0;0;10885;2243;30702;69;0;0;43899
Rudno nad Hronom;0;0;0;0;0;0;0;0;485;354;7065;2;0;0;7906
Ruskov;107;1876;6;10;140;245;9;11;4475;1862;20945;57;1999;405;27339
Ruskovce;0;0;0;0;0;0;0;0;271;129;2892;2;0;0;3294
Rusovce;116;162;7;0;117;177;8;1;4255;1428;7276;32;285;303;12991
Ružomberok;178;336;9;4;145;439;15;8;11564;1071;29939;111;527;607;42685
Ružomberok-Rybárpole;0;0;0;0;0;0;0;0;12059;1363;29961;121;0;0;43504
Ružín;0;0;0;0;0;0;0;0;11218;1705;31794;239;0;0;44956
Rybany;12;5;27;0;7;11;27;0;6;38;2779;3;44;45;2826
Ráztočno;0;0;0;0;0;0;0;0;379;259;6146;165;0;0;6949
Sabinov;6;84;139;0;6;85;155;0;1548;859;13718;6;229;246;16131
Sačurov;0;0;0;0;0;0;0;0;159;81;3;1;0;0;244
Sedliacka Dubová;0;0;0;;0;0;0;;207;95;7732;;0;0;8034
Sedmerovec;0;0;0;;0;0;0;;74;8;12;;0;0;94
Sekule;22;182;0;1;24;170;0;2;13723;3134;25004;32;205;196;41893
Senec;186;268;30;1;193;264;33;2;9258;2522;37414;139;485;492;49333
Senica;292;289;1471;0;304;281;1443;0;1070;860;8038;2;2052;2028;9970
Sereď;120;464;136;56;132;460;131;56;2774;1705;11687;70;776;779;16236
Sečovce;144;74;0;0;143;74;0;0;107;75;3;1;218;217;186
Sečovská Polianka;0;0;0;0;0;0;0;0;159;81;3;1;0;0;244
Seňa;0;0;0;0;0;0;0;0;2420;784;4846;11;0;0;8061
Sibír;;0;0;;;0;0;;;17;14780;;0;0;14797
Siladice;121;154;1;0;114;166;1;0;2262;1029;175;157;276;281;3623
Skalica na Slovensku;2;11;4069;0;3;10;4068;4;0;6;74;0;4082;4085;80
Skalité;11;80;10314;0;16;76;10327;1;0;54;196;0;10405;10420;250
Skalité pod Poľanou;;0;0;;;0;0;;;55;7619;;0;0;7674
Skalité zastávka;0;0;0;0;0;0;0;0;27;209;13420;1;0;0;13657
Skalité-Kudlov;;0;0;;;0;0;;;55;7619;;0;0;7674
Skalité-Serafínov;;13;199;;;13;199;;;29;7221;;212;212;7250
Sklené pri Handlovej;4;9;2;0;5;6;2;0;365;228;6629;165;15;13;7387
Slanec;275;593;2;3;259;534;4;7;5909;3241;20946;48;873;804;30144
Slaná Lehota;0;0;0;;0;0;0;;23;11;6416;;0;0;6450
Slatina;0;0;0;0;0;0;0;0;176;108;2003;4;0;0;2291
Slavec jaskyňa;173;332;0;1;312;187;0;0;1260;1002;6285;26;506;499;8573
Slavošovce;;4;;;;4;;;;0;;;4;4;0
Slavošovce obec;;0;;;;0;;;;8;;;0;0;8
Slepčany;0;0;0;0;0;0;0;0;350;102;2681;7;0;0;3140
Sliač kúpele;48;19;34;1;46;21;57;1;1406;856;27643;45;102;125;29950
Slovenská Ľupča;5;0;0;1;5;2;0;0;645;200;10349;37;6;7;11231
Slovenská Ľupča-Príboj;0;0;0;0;0;0;0;0;743;202;10349;37;0;0;11331
Slovenské Nové Mesto;286;495;3;2;309;535;3;3;5115;1216;11527;18;786;850;17876
Sládkovičovo;472;256;16;1;483;267;20;8;8886;2535;37402;132;745;778;48955
Smižany;0;0;0;0;0;0;0;0;11548;3188;26834;79;0;0;41649
Smolenice;153;47;14;0;148;47;73;0;1130;1088;9995;3;214;268;12216
Snina;0;3;47;0;0;5;44;0;245;4;7863;56;50;49;8168
Snina mesto;0;0;0;0;0;0;0;0;246;12;7954;56;0;0;8268
Snina predmestie;0;0;0;0;0;0;0;0;246;12;7954;56;0;0;8268
Soblahov;0;0;0;0;0;0;0;0;283;185;2908;2;0;0;3378
Sološnica;0;0;0;;0;0;0;;29;20;2;;0;0;51
Somotor;0;0;0;0;0;0;0;0;5401;1500;11524;21;0;0;18446
Soľ;0;0;0;0;0;0;0;0;1233;417;8815;39;0;0;10504
Spišská Belá;18;;;;18;;;;0;;;;18;18;0
Spišská Belá zastávka;0;0;3;0;0;0;4;2;200;22;8466;3;3;6;8691
Spišská Nová Ves;1278;1094;2442;4;1236;2673;2220;6;5624;603;26437;74;4818;6135;32738
Spišské Podhradie;;3;72;;;3;72;;;0;0;;75;75;0
Spišské Tomášovce;0;0;0;0;0;0;0;0;11548;3188;26834;79;0;0;41649
Spišské Vlachy;23;325;76;0;26;323;76;3;11135;1375;31094;79;424;428;43683
Spišské Vlachy mesto;;0;0;;;0;0;;;6;144;;0;0;150
Spišský Štiavnik;0;0;0;0;0;0;0;0;11557;3326;26770;82;0;0;41735
Stakčín;123;2;3928;28;123;2;3935;28;0;0;0;0;4081;4088;0
Stankovany;0;0;0;0;0;0;0;0;11929;1415;29965;135;0;0;43444
Stanča;0;0;0;0;0;0;0;0;180;713;10037;5;0;0;10935
Stará Kremnička;0;0;0;0;0;0;0;0;560;372;2998;216;0;0;4146
Stará Lesná;;;0;;;;0;;;;14083;;0;0;14083
Stará Turá;0;24;10;;0;21;9;;7;298;7980;;34;30;8285
Stará Voda;0;0;0;0;0;0;0;0;44;73;10780;4;0;0;10901
Stará Ľubovňa;91;6;4219;1;90;7;4222;0;8;11;191;2;4317;4319;212
Starý Smokovec;;10;7194;0;;7;7281;1;;12;14920;0;7204;7289;14932
Staškov;;0;0;;;0;0;;;8;9283;;0;0;9291
Staškov zastávka;;0;0;;;0;0;;;8;9283;;0;0;9291
Stožok;649;279;1;0;609;428;1;1;631;663;15433;27;929;1039;16754
Stratená;0;0;0;0;0;0;0;0;15;23;4517;6;0;0;4561
Streda nad Bodrogom;19;222;3;1;18;219;3;1;5390;1357;11524;19;245;241;18290
Strekov;25;153;0;0;25;159;1;0;8040;2840;14196;137;178;185;25213
Strelenka;0;1;972;0;0;1;972;0;968;498;8512;2;973;973;9980
Strečno;0;0;0;0;0;0;0;0;12871;2480;35583;369;0;0;51303
Strážky zastávka;0;0;0;0;0;0;0;0;236;22;8477;5;0;0;8740
Strážske;1081;163;0;2;1108;179;13;1;8;115;7030;152;1246;1301;7305
Studený Potok;0;60;558;1;0;63;524;2;389;113;11468;9;619;589;11979
Sukov;0;0;0;0;0;0;0;0;174;6;5902;56;0;0;6138
Sučany;0;0;0;0;0;0;0;0;11853;1956;30407;195;0;0;44411
Svinná;0;0;0;0;0;0;0;0;271;129;2892;2;0;0;3294
Svit;23;93;3998;10;26;111;4000;8;11121;2965;21956;96;4124;4145;36138
Svrčinovec;0;0;0;0;0;0;0;0;29;239;13422;3;0;0;13693
Svrčinovec zastávka;0;0;0;0;0;0;0;0;10524;3177;11629;15;0;0;25345
Svätý Jur;0;2;0;0;0;2;2;0;7659;2446;58476;195;2;4;68776
Sykavka;0;0;0;0;0;0;0;0;15;23;4521;6;0;0;4565
Sása-Pliešovce;30;16;72;0;28;31;85;0;63;156;3852;5;118;144;4076
Sľažany;;0;0;0;;0;0;0;;183;2;2;0;0;187
Tatranská Lesná;;;0;;;;0;;;;14083;;0;0;14083
Tatranská Lomnica;;2;1323;1;;2;1323;1;;0;0;0;1326;1326;0
Tatranská Lomnica TEŽ;;;7042;;;;7041;;;;0;;7042;7041;0
Tatranská Lomnica zastávka;;0;0;0;;0;0;0;;4;2646;2;0;0;2652
Tatranská Polianka;;0;8;;;0;8;;;17;14762;;8;8;14779
Tatranské Zruby;;0;0;;;0;0;;;17;14780;;0;0;14797
Tatranský Lieskovec;;0;0;0;;0;0;0;;4;17364;10;0;0;17378
Tekovská Breznica;0;0;0;0;0;0;0;0;80;114;2002;2;0;0;2198
Tekovské Lužany;0;16;4;0;0;16;4;0;35;115;4588;1;20;20;4739
Tekovský Hrádok;0;0;0;0;0;0;0;0;35;146;4588;1;0;0;4770
Telgárt;6;8;1;0;8;7;799;1;2;4;923;1;15;815;930
Telgárt penzión;0;0;0;0;0;0;0;0;16;19;2572;2;0;0;2609
Teplička nad Hornádom;0;0;0;0;0;0;0;0;11189;1791;31095;79;0;0;44154
Terany;0;0;0;0;0;0;0;0;176;108;2003;4;0;0;2291
Tesárske Mlyňany;0;0;0;0;0;0;0;0;350;102;2681;7;0;0;3140
Tešedíkovo;0;0;5;2;0;0;6;1;20;123;2;0;7;7;145
Tisovec;;7;4666;6;;6;4660;17;;4;2;2;4679;4683;8
Tisovec mesto;;0;0;0;;0;0;0;;16;7505;4;0;0;7525
Tisovec závody;;0;0;0;;0;0;0;;16;7505;4;0;0;7525
Tisovec-Bánovo;;0;0;0;;0;0;0;;11;1827;23;0;0;1861
Tlmače;0;0;0;0;0;0;0;0;116;435;4781;8;0;0;5340
Tomášovce;262;44;44;0;278;32;69;0;810;316;15271;19;350;379;16416
Toporec;0;0;0;0;0;0;0;0;200;22;8470;3;0;0;8695
Topoľnica;0;0;0;0;0;0;0;0;11429;3725;26783;204;0;0;42141
Topoľčany;5;109;8919;3;4;113;8935;8;556;356;5812;50;9036;9060;6774
Topoľčianky;80;1;;;80;1;;;0;0;;;81;81;0
Tornaľa;1;110;3;1;1;110;10;2;830;208;5686;21;115;123;6745
Trebejov;0;0;0;0;0;0;0;0;12533;3398;55069;259;0;0;71259
Trebišov;933;1160;5439;11;877;1269;5438;15;244;325;8043;9;7543;7599;8621
Trebišov zastávka;0;0;0;0;0;0;0;0;350;217;3;1;0;0;571
Trenčianska Teplá;1094;680;6968;25;1083;735;6672;30;6518;1239;38759;114;8767;8520;46630
Trenčianska Teplá obec;;;0;0;;;0;0;;;379;2;0;0;381
Trenčianska Teplá zastávka;;;0;0;;;0;0;;;379;2;0;0;381
Trenčianska Teplá ÚRT;;;189;1;;;190;1;;;0;0;190;191;0
Trenčianska Turná;156;124;1;0;131;140;2;0;71;159;2907;2;281;273;3139
Trenčianske Bohuslavice;1;130;2;0;2;135;7;1;7618;1450;37424;118;133;145;46610
Trenčianske Jastrabie;0;0;0;0;0;0;0;0;271;129;2892;2;0;0;3294
Trenčianske Teplice;;;190;1;;;189;1;;;0;0;191;190;0
Trenčianske Teplice sídlisko;;;0;0;;;0;0;;;379;2;0;0;381
Trenčianske Teplice zastávka;;;0;0;;;0;0;;;379;2;0;0;381
Trenčín;15;244;9037;5;11;247;9332;8;8078;1585;38026;111;9301;9598;47800
Trenčín predmestie;0;0;0;0;0;0;0;0;522;399;2909;2;0;0;3832
Trenčín-Opatová;0;0;0;0;0;0;0;0;8105;1760;42740;117;0;0;52722
Trenčín-Zlatovce;27;186;5703;0;25;179;5705;1;7563;1426;37432;116;5916;5910;46537
Tretí Hámor;0;0;0;0;0;0;0;0;15;25;4521;6;0;0;4567
Trnava;34;170;23681;15;30;170;23708;27;7489;4137;39254;95;23900;23935;50975
Trnava nákladná stanica;1234;1674;62;26;1153;1753;242;27;6486;2245;67561;113;2996;3175;76405
Trnava predmestie;0;0;0;0;0;0;0;0;1592;1207;10141;3;0;0;12943
Trnavá Hora;0;0;0;0;0;0;0;0;560;372;2998;216;0;0;4146
Trnovec nad Váhom;746;622;2;0;770;598;2;0;9944;3175;26780;208;1370;1370;40107
Trstená;80;14;3891;;83;11;3891;;0;0;0;;3985;3985;0
Tulčík;0;0;0;0;0;0;0;0;170;124;7167;5;0;0;7466
Tupá;1;0;0;0;1;0;0;0;169;108;2003;4;1;1;2284
Turany;49;215;1;1;49;228;2;2;11314;1594;30407;192;266;281;43507
Turzovka;;2;3286;;;2;3283;;;4;5978;;3288;3285;5982
Turzovka zastávka;;0;0;;;0;0;;;4;9248;;0;0;9252
Turček;0;0;0;0;0;0;0;0;602;445;2984;206;0;0;4237
Turčianske Teplice;0;0;0;0;1;0;0;0;2259;1227;15751;108;0;1;19345
Turňa nad Bodvou;1203;554;37;0;1111;723;43;4;954;688;6210;36;1794;1881;7888
Tvrdošovce;55;142;1;0;53;146;0;2;10980;3749;26781;208;198;201;41718
Tvrdošín;12;34;28;;8;38;28;;68;20;7778;;74;74;7866
Udavské;77;0;0;0;77;0;0;0;215;7;7802;56;77;77;8080
Utekáč;;2;4160;;;2;4161;;;0;0;;4162;4163;0
Uľanka;0;144;0;0;0;120;0;0;1574;939;6652;22;144;120;9187
Valaliky;0;0;0;0;0;0;0;0;2562;1558;4848;12;0;0;8980
Valaská;0;0;0;0;0;0;0;0;320;238;10344;38;0;0;10940
Vaniškovce;0;0;0;0;0;0;0;0;170;76;7156;5;0;0;7407
Varín;272;113;2;1;267;171;2;1;10200;2224;35578;366;388;441;48368
Vaďovce;8;85;323;1;8;86;321;1;7;338;7979;0;417;416;8324
Vaľkovňa;0;0;0;0;0;0;0;0;15;17;4744;1;0;0;4777
Važec;0;0;0;0;0;0;0;0;11182;2019;24851;94;0;0;38146
Veličná;0;0;0;;0;0;0;;342;235;7969;;0;0;8546
Vernár;0;0;0;0;0;0;0;0;16;19;2572;2;0;0;2609
Veľaty;0;0;0;0;0;0;0;0;180;713;10037;5;0;0;10935
Veľká Ida;810;162;55;1;808;174;57;4;1428;1311;12346;64;1028;1043;15149
Veľká Lodina;0;0;0;0;0;0;0;0;11397;2102;31810;242;0;0;45551
Veľká Lomnica-Golf;;0;0;0;;0;0;0;;4;2646;2;0;0;2652
Veľká Lúka;0;0;0;0;0;0;0;0;1427;875;27660;45;0;0;30007
Veľká Paka;0;0;0;;0;0;0;;4702;407;20870;;0;0;25979
Veľká Ves;0;0;0;;0;0;0;;28;29;8343;;0;0;8400
Veľké Bielice;1;79;5;0;1;82;14;1;529;402;12867;65;85;98;13863
Veľké Blahovo;0;0;0;;0;0;0;;4735;386;20924;;0;0;26045
Veľké Kapušany;7;85;;;9;85;;;148;143;;;92;94;291
Veľké Kapušany zastávka;0;0;;;0;0;;;170;315;;;0;0;485
Veľké Kostoľany;24;39;0;0;26;39;0;0;7311;1550;28454;113;63;65;37428
Veľké Kozmálovce;168;42;1;1;144;65;1;3;87;411;4781;4;212;213;5283
Veľké Leváre;43;154;2;0;47;154;3;1;13664;2951;25001;32;199;205;41648
Veľké Ripňany;;4;1;;;4;1;;;59;8;;5;5;67
Veľké Teriakovce;0;0;0;0;0;0;0;0;53;92;7494;4;0;0;7643
Veľké Uherce;0;6;1;0;1;7;20;0;552;504;12861;66;7;28;13983
Veľký Biel;0;0;0;0;0;0;0;0;9581;2834;37468;141;0;0;50024
Veľký Horeš;4;203;0;0;4;207;0;2;5388;1368;11523;20;207;213;18299
Veľký Kýr;0;0;0;0;0;0;0;0;421;330;10231;54;0;0;11036
Veľký Meder;2;2;0;;1;3;1;;1798;216;9766;;4;5;11780
Veľký Slavkov;;0;9;2;;0;10;3;;24;15585;1;11;13;15610
Veľký Šariš;0;57;12;0;0;58;78;1;1618;836;13890;6;69;137;16350
Vidová;0;0;0;0;0;0;0;0;1431;1336;6286;26;0;0;9079
Višňové;0;0;0;0;0;0;0;0;23;508;8627;2;0;0;9160
Vlachovo;0;0;0;;0;0;0;;98;68;2;;0;0;168
Vlachovo obec;0;0;0;;0;0;0;;98;68;2;;0;0;168
Vlečka Agrochemický podnik Levice;;0;0;;;0;0;;;73;6;;0;0;79
Vlečka Agropodnik;0;0;0;;0;0;0;;8;8;44;;0;0;60
Vlečka Calmit;0;0;0;0;0;0;0;0;203;149;10793;6;0;0;11151
Vlečka Dakna;0;0;0;;0;0;0;;163;25;7782;;0;0;7970
Vlečka Dolný Štverník;;0;0;;;0;0;;;4;8;;0;0;12
Vlečka Ferona Slovakia;55;0;0;0;55;0;0;0;428;358;10232;54;55;55;11072
Vlečka Genes;;0;0;0;;0;0;0;;16;7505;4;0;0;7525
Vlečka Ignocast Slovakia;;0;0;0;;0;0;0;;16;7505;4;0;0;7525
Vlečka Imuna;0;0;0;0;0;0;0;0;1642;910;13980;6;0;0;16538
Vlečka KIA;649;21;;;662;12;;;0;0;;;670;674;0
Vlečka Lesy;51;4;0;0;53;2;0;0;177;52;4764;1;55;55;4994
Vlečka Lesy SR;0;0;0;0;0;0;0;0;297;218;8280;2;0;0;8797
Vlečka Lesy SR Beňuš 2;0;0;0;0;0;0;0;0;78;36;4764;1;0;0;4879
Vlečka Letisko;149;0;;;140;8;;;0;0;;;149;148;0
Vlečka Levočské Lúky;0;0;0;;0;0;0;;8;8;44;;0;0;60
Vlečka MFC- prevádzka Transformovňa Kráľova Lehota;0;0;0;0;0;0;0;0;11178;1741;24849;93;0;0;37861
Vlečka Olcnava;0;0;0;0;0;0;0;0;11188;1804;31102;79;0;0;44173
Vlečka Prelika;0;0;0;0;0;0;0;0;1643;877;13963;7;0;0;16490
Vlečka Priemyselný park Lozorno;0;0;0;;0;0;0;;1514;383;4;;0;0;1901
Vlečka Raimex;110;0;0;0;110;0;0;0;704;752;10163;4;110;110;11623
Vlečka Vagónka Trebišov;0;0;;0;0;0;;0;2687;640;;1;0;0;3328
Vlečka Vojenský opravárenský závod;0;0;;;0;0;;;190;79;;;0;0;269
Vlečka VÚ 5574;0;0;0;0;0;0;0;0;733;200;10350;38;0;0;11321
Vlečka VÚ 8838;0;0;0;0;0;0;0;0;389;258;11501;12;0;0;12160
Vlečka Výskumný ústav;0;0;;;0;0;;;56;8;;;0;0;64
Vlečka ÚNVV Leopoldov;68;0;0;0;69;0;0;0;1854;716;18777;1;68;69;21348
Vlkanová;9;26;54;1;10;25;56;1;1406;823;27551;43;90;92;29823
Vlčany;10;60;1;;10;61;1;;0;2;0;;71;72;2
Vojany;159;156;;;152;167;;;137;300;;;315;319;437
Vojčice;0;0;0;0;0;0;0;0;350;217;3;1;0;0;571
Volica;0;0;0;0;0;0;0;0;174;6;5902;56;0;0;6138
Volkovce;0;0;0;;0;0;0;;72;123;2;;0;0;197
Voznica;0;0;0;0;0;0;0;0;485;354;7064;2;0;0;7905
Vranov nad Topľou;209;151;372;1;138;142;404;1;763;260;8018;39;733;685;9080
Vranov nad Topľou predmestie;0;0;0;0;0;0;0;0;159;81;3;1;0;0;244
Vranov-Ortáše;0;0;0;0;0;0;0;0;159;81;3;1;0;0;244
Vranovské Dlhé;0;0;0;0;0;0;0;0;1291;323;8038;40;0;0;9692
Vrbovce;0;21;15;;0;21;16;;7;6;5065;;36;37;5078
Vrbovce zastávka;0;0;0;;0;0;0;;7;48;5094;;0;0;5149
Vráble;3;1;2;0;3;2;2;0;226;102;2681;7;6;7;3016
Vrútky;594;1090;12174;307;588;1121;12153;268;11651;1358;32082;68;14165;14130;45159
Vrútky nákladná stanica;137;207;6;1;141;197;5;2;11658;1763;30399;192;351;345;44012
Vydrník;21;218;29;2;22;222;32;1;11490;3032;26768;79;270;277;41369
Vysoká nad Kysucou;;0;0;;;0;0;;;4;9248;;0;0;9252
Vyškovce nad Ipľom;0;0;0;0;0;0;0;0;25;92;1945;1;0;0;2063
Vyšná Myšľa;0;0;0;0;0;0;0;0;6171;2187;20965;78;0;0;29401
Vyšné Hágy;;1;72;;;3;158;;;14;14614;;73;161;14628
Vyšné Čabiny;0;0;0;0;0;0;0;0;174;6;5902;56;0;0;6138
Vígľaš;0;41;0;2;1;38;0;2;1513;1299;15435;28;43;41;18275
Vítkovce;0;0;0;0;0;0;0;0;11190;1804;31101;79;0;0;44174
Východná;5;334;2;0;6;413;2;3;10420;1505;24845;92;341;424;36862
Výh. Brzotín;0;0;0;0;0;0;0;0;1916;1189;6286;27;0;0;9418
Výh. Budkovce ŠRT;2;82;;;1;77;;;2750;547;;;84;78;3297
Výh. Chym;0;2;0;0;0;2;0;0;2712;1406;12349;64;2;2;16531
Výh. Drienovec;0;0;0;0;0;0;0;0;2717;1299;6235;39;0;0;10290
Výh. Dvorníky-Zádiel;0;0;0;0;0;0;0;0;1859;1416;6278;37;0;0;9590
Výh. Dúbrava;1;6;0;0;1;8;0;0;1156;1118;10009;3;7;9;12286
Výh. Gánovce;0;0;0;0;0;0;0;0;5447;1512;12408;44;0;0;19411
Výh. Holiša;0;3;0;0;0;3;0;0;695;262;6219;12;3;3;7188
Výh. Horná Streda;0;0;0;0;0;0;0;0;7255;1570;28452;110;0;0;37387
Výh. Hornád ŠRT;1;37;;;1;35;;;2682;412;;;38;36;3094
Výh. Lučivná;0;0;0;0;1;0;0;0;11188;3036;24836;102;0;1;39162
Výh. Lúka;0;0;0;0;0;0;0;0;712;234;9551;19;0;0;10516
Výh. Lúčna;0;2;0;0;0;2;0;0;774;331;5692;21;2;2;6818
Výh. Nivy;0;0;0;0;0;0;0;1;7634;1709;37435;117;0;1;46895
Výh. Paludza;17;168;0;0;21;164;0;1;11407;1262;29960;108;185;186;42737
Výh. Pial;4;70;0;0;4;63;0;0;551;634;12826;6;74;67;14017
Výh. Plevník-Drienové;0;0;0;0;0;0;0;0;8720;2035;32934;207;0;0;43896
Výh. Potvorice;0;0;0;0;0;0;0;1;7254;1570;28452;109;0;1;37385
Výh. Ružín;0;0;0;0;0;0;0;0;11218;1705;31796;239;0;0;44958
Výh. Slančík ŠRT;0;48;;;0;51;;;2684;456;;;48;51;3140
Výh. Slatinka;0;30;0;0;0;30;0;1;1549;1272;15437;32;30;31;18290
Výh. Slivník;3;55;0;0;3;55;0;1;1066;1097;8654;27;58;59;10844
Výh. Slivník výh. č. 8;0;0;0;0;0;0;0;0;6320;3938;20957;49;0;0;31264
Výh. Slivník ŠRT;5;74;;1;6;86;;0;2679;503;;0;80;92;3182
Výh. Svätý Jur;0;4;1;3;0;3;0;7;7659;2448;58476;185;8;10;68768
Výh. Trebišov ŠRT;40;345;;0;37;336;;1;2678;303;;0;385;374;2981
Výh. Tunel;0;0;0;0;0;0;0;0;1844;1352;6256;33;0;0;9485
Výh. Urbánka;1;0;0;0;1;1;0;1;711;231;9559;20;1;3;10521
Výh. Vinohrady;0;2;0;0;0;2;0;0;772;238;5693;22;2;2;6725
Výh. Vojany ŠRT;222;163;;;242;130;;;2744;560;;;385;372;3304
Výčapy-Opatovce;0;0;0;0;0;0;0;0;626;569;15071;51;0;0;16317
Včelínce;0;0;0;0;0;0;0;0;833;427;5696;21;0;0;6977
Zalaba;0;0;0;0;0;0;0;0;25;92;1945;1;0;0;2063
Zariečie;0;0;0;0;0;0;0;0;949;712;10487;5;0;0;12153
Zbehy;1;99;6;0;1;101;6;2;1090;613;17024;1;106;110;18728
Zbehy obec;0;0;0;;0;0;0;;967;487;12581;;0;0;14035
Zbojská;;0;6;0;;0;6;0;;11;1815;23;6;6;1849
Zbudské Dlhé;0;0;0;0;0;0;0;0;224;7;5910;56;0;0;6197
Zbyňov;0;0;0;0;0;0;0;0;50;8;4458;1;0;0;4517
Zelené;0;0;0;;0;0;0;;28;17;8343;;0;0;8388
Zemianska Olča;2;8;46;;1;7;57;;1798;215;9669;;56;65;11682
Zemianske Kostoľany;30;38;19;0;31;42;60;1;546;379;12760;66;87;134;13751
Zlatno;0;0;0;;0;0;0;;23;11;6416;;0;0;6450
Zlatná na Ostrove;0;3;9;;0;6;12;;1800;224;9667;;12;18;11691
Zlaté Moravce;339;139;1343;0;341;137;1340;3;29;69;2;5;1821;1821;105
Zlaté Moravce závody;84;4;0;4;88;0;4;0;72;123;2;0;92;92;197
Zlaté Moravce-Prílepy;0;0;0;;0;0;0;;72;123;2;;0;0;197
Zohor;427;552;4;2;420;598;12;5;13817;3084;25007;33;985;1035;41941
Zvolen mesto;0;0;0;0;0;0;0;0;1489;881;27749;47;0;0;30166
Zvolen mesto odb.;0;0;0;0;0;0;0;0;1489;881;27749;47;0;0;30166
Zvolen nákladná stanica;958;1308;337;26;163;1560;336;28;1577;187;15417;12;2629;2087;17193
Zvolen osobná stanica;12;209;25290;154;16;226;25176;141;1245;1124;5634;22;25665;25559;8025
Zvolen východ;513;17;;;1324;19;;;0;0;;;530;1343;0
Zvolen východ výh. č. 302;0;0;0;0;0;0;0;0;1553;1286;15437;33;0;0;18309
Zvolenská Slatina;0;0;0;0;0;0;0;0;1553;1318;15436;32;0;0;18339
Závadka nad Hronom nákladisko;0;0;0;0;0;0;0;0;78;36;4764;1;0;0;4879
Závadka nad Hronom obec;0;0;0;0;0;0;0;0;78;36;4764;1;0;0;4879
Závadka nad Hronom zastávka;0;0;0;0;0;0;0;0;78;36;4764;1;0;0;4879
Závod;0;0;0;0;0;0;0;0;13755;3191;25004;32;0;0;41982
hranica BA - TT;0;0;0;0;0;0;0;0;35400;8857;142581;327;0;0;187165
hranica BB - KE;0;0;0;0;0;0;0;0;1301;302;8268;26;0;0;9897
hranica KE - PO;0;0;0;0;0;0;0;0;17373;5810;65465;578;0;0;89226
hranica NR - BB;0;0;0;0;0;0;0;0;255;219;4005;6;0;0;4485
hranica NR - TN;0;0;0;0;0;0;0;0;594;534;14454;59;0;0;15641
hranica TN -TT;;0;0;;;0;0;;;4;8;;0;0;12
hranica TT - NR;0;0;0;0;0;0;0;0;14518;4653;51794;205;0;0;71170
hranica TT - TN;0;0;0;0;0;0;0;0;7255;1570;28452;110;0;0;37387
hranica ZA - BB;0;0;0;0;0;0;0;0;2182;1548;9641;227;0;0;13598
hranica ZA - PO;0;0;0;0;0;0;0;0;11182;2019;24851;94;0;0;38146
hranica ZA - TN;0;0;0;0;0;0;0;0;9086;2264;39571;372;0;0;51293
km 13,100;0;0;0;0;0;0;0;0;1069;1182;8654;27;0;0;10932
km 16,600;0;0;0;0;0;0;0;0;565;733;12826;6;0;0;14130
km 16,800;0;0;0;0;0;0;0;0;565;733;12826;6;0;0;14130
km 188,800;0;0;0;0;0;0;0;0;941;434;15438;19;0;0;16832
km 2,600;0;0;0;0;0;0;0;0;3479;2045;24782;245;0;0;30551
km 28,000;0;0;0;0;0;0;0;0;1157;1132;10009;3;0;0;12301
km 3,500;0;0;0;0;0;0;0;0;1323;331;6600;98;0;0;8352
km 35,500;0;0;0;0;0;0;0;0;170;76;7156;5;0;0;7407
km 4,234;0;0;0;0;0;0;0;0;4015;2512;333;1;0;0;6861
km 4,300;0;0;0;0;0;0;0;0;630;785;10037;5;0;0;11457
km 56,900;0;0;0;0;0;0;0;0;1844;1352;6256;33;0;0;9485
km 6,600;0;0;0;0;0;0;0;0;25;92;1945;1;0;0;2063
km 7,000;0;0;;;0;0;;;450;72;;;0;0;522
km 73,000;0;0;0;0;0;0;0;0;6236;3683;20950;57;0;0;30926
km 80,400;0;0;0;0;0;0;0;0;16;19;2572;2;0;0;2609
odb.výh.č.101/203;0;0;0;0;0;0;0;0;1863;180;1;1;0;0;2045
