Datasety_Intenzita ŽD;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Počet vých vlakov;;;;Počet konč vlakov;;;;Počet tranz vlakov;;;;Počet vých vlakov;Počet konč vlakov;Počet tranz vlakov
;N;;O;;N;;O;;N;;O;;;;
Úplný názov dopravného bodu;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;;;
Dyčka;0;0;0;0;0;0;0;0;352;105;2685;7;0;0;3149
Dúbravka;0;0;;0;0;0;;0;670;783;;1;0;0;1454
EE Bytča;0;0;0;0;0;0;0;0;4398;1009;17191;130;0;0;22728
EE Púchov - Lúky;0;0;0;0;0;0;0;0;951;716;10489;5;0;0;12161
Fiľakovo;18;115;1971;10;24;113;3117;13;106;6;62;0;2114;3267;174
Fiľakovo St. 3;0;0;0;0;0;0;0;0;697;271;6219;13;0;0;7200
Fiľakovo zastávka;0;0;0;0;0;0;0;0;695;267;6218;12;0;0;7192
Forbasy;0;0;0;0;0;0;0;0;188;18;8462;3;0;0;8671
Fulianka;0;0;0;0;0;0;0;0;170;124;7167;5;0;0;7466
Galanta;403;914;14282;5;391;910;13884;11;10934;3339;23552;196;15604;15196;38021
Gašparovo;91;11;0;0;89;13;0;0;97;36;4764;1;102;102;4898
Gbelce;5;169;2;11;11;162;2;11;8051;2748;14192;115;187;186;25106
Gbely;0;17;29;2;0;15;28;1;296;187;8247;1;48;44;8731
Gbely zastávka;0;0;0;0;0;0;0;0;297;218;8280;2;0;0;8797
Gelnica;1;27;14;0;1;36;39;4;97;87;10724;3;42;80;10911
Gelnica mesto;0;0;0;0;0;0;0;0;203;92;10734;4;0;0;11033
Gelnica zastávka;0;0;0;0;0;0;0;0;203;92;10735;4;0;0;11034
Gemer;0;0;0;0;0;0;0;0;835;211;5696;24;0;0;6766
Gemerská Hôrka;1;1;0;0;1;2;0;0;832;208;5696;24;2;3;6760
Gemerská Hôrka zastávka;0;0;;;0;0;;;450;72;;;0;0;522
Gemerská Panica;0;0;0;0;0;0;0;0;835;211;5696;24;0;0;6766
Gemerská Poloma;0;0;0;;0;0;0;;98;124;2;;0;0;224
Gemerský Milhosť;0;0;;;0;0;;;450;51;;;0;0;501
Geča;0;0;0;0;0;0;0;0;2562;1558;4848;12;0;0;8980
Gortva;0;0;0;0;0;0;0;0;712;234;9551;19;0;0;10516
Gočovo;0;0;0;;0;0;0;;98;68;2;;0;0;168
Gyňov;0;0;0;0;0;0;0;0;2420;784;4846;11;0;0;8061
Gánovce;0;0;0;0;0;0;0;0;11556;3326;26770;82;0;0;41734
Gáň;19;88;11;0;25;86;12;0;2828;2006;11747;73;118;123;16654
Hajnáčka;2;3;1;0;1;4;1;0;709;227;9558;20;6;6;10514
Handlová;11;31;221;0;18;31;216;0;357;213;6131;165;263;265;6866
Haniska pri Košiciach;3154;2535;69;37;3316;2204;71;36;815;830;12459;68;5795;5627;14172
Haniska pri Košiciach ŠRT;1263;285;;;1419;128;;;0;0;;;1548;1547;0
Haniska pri Prešove;0;0;0;0;0;0;0;0;3433;1717;24874;244;0;0;30268
Hankovce;0;0;0;0;0;0;0;0;224;7;7802;56;0;0;8089
Hanušovce nad Topľou;0;6;10;5;0;18;48;0;1365;402;8745;41;21;66;10553
Hanušovce nad Topľou mesto;0;0;0;0;0;0;0;0;1367;406;8776;46;0;0;10595
Harichovce;0;0;0;;0;0;0;;8;8;44;;0;0;60
Harmanec;0;0;0;0;0;0;0;0;1575;1042;6652;22;0;0;9291
Harmanec jaskyňa;0;88;2;0;5;105;3;1;1569;968;6648;21;90;114;9206
Hatalov;3;32;;0;10;25;;0;610;781;;1;35;35;1392
Hatalov odb.;0;0;;0;0;0;;0;679;836;;1;0;0;1516
Hačava;;0;0;0;;0;0;0;;16;7504;4;0;0;7524
Hačava skálie;;0;0;0;;0;0;0;;16;7505;4;0;0;7525
Hažín nad Cirochou;0;0;0;0;0;0;0;0;459;14;7935;56;0;0;8464
Helcmanovce;0;0;0;0;0;0;0;0;203;86;10785;4;0;0;11078
Henckovce;0;0;0;;0;0;0;;98;124;2;;0;0;224
Hencovce;0;0;0;0;0;0;0;0;1291;323;8038;40;0;0;9692
Hertník;0;0;0;0;0;0;0;0;170;76;7156;5;0;0;7407
Heľpa;31;10;1;0;32;9;10;0;15;17;4744;1;42;51;4777
Hlboké;0;0;0;0;0;0;0;0;1123;934;10098;2;0;0;12157
Hlinné;0;0;0;0;0;0;0;0;1233;417;8815;39;0;0;10504
Hliník nad Hronom;28;109;0;0;30;112;2;0;410;479;10157;3;137;144;11049
Hlohovec;298;100;261;0;310;84;1808;0;1263;620;15066;1;659;2202;16950
Hnilec;0;0;0;0;0;2;0;0;15;23;4521;6;0;2;4565
Hnúšťa;;7;1;0;;6;4;0;;16;7502;4;8;10;7522
Hnúšťa zastávka;;0;0;0;;0;0;0;;16;7505;4;0;0;7525
Hodejov;0;0;0;0;0;0;0;0;712;234;9551;19;0;0;10516
Holiša;0;0;0;0;0;0;0;0;695;268;6219;12;0;0;7194
Holíč nad Moravou;0;37;40;3;1;36;42;0;295;117;8267;2;80;79;8681
Hontianske Nemce;11;1;0;0;11;3;0;0;183;115;1985;4;12;14;2287
Hontianske Tesáre;9;3;1;0;9;4;9;0;164;108;1985;4;13;22;2261
Horná Lehota;0;0;0;;0;0;0;;207;95;7732;;0;0;8034
Horná Streda;0;0;0;0;0;0;0;0;7255;1570;28452;110;0;0;37387
Horná Zlatná;0;0;0;;0;0;0;;1800;225;9685;;0;0;11710
Horná Štubňa;157;92;2192;8;151;82;2200;3;399;525;5929;223;2449;2436;7076
Horná Štubňa obec;0;0;1209;0;0;0;1209;0;1581;680;6663;21;1209;1209;8945
Horná Štubňa zastávka;0;0;0;0;0;0;0;0;679;549;6671;88;0;0;7987
Horné Ozorovce;0;0;0;0;0;0;1;0;271;129;2892;2;0;1;3294
Horné Srnie;161;74;4410;0;167;38;4412;1;22;16;131;0;4645;4618;169
Horný Hričov;0;0;0;0;0;0;0;0;8816;2090;32938;231;0;0;44075
Horný Pial;0;0;0;0;0;0;0;0;561;670;12826;6;0;0;14063
Horný Smokovec;;;0;;;;0;;;;14083;;0;0;14083
Horovce;0;0;0;;0;0;0;;74;8;10;;0;0;92
Hrabovec nad Laborcom;0;0;0;0;0;0;0;0;224;7;5910;56;0;0;6197
Hrachovište;0;0;3;0;0;0;17;0;23;508;8607;2;3;17;9140
Hrachovo;0;0;0;0;0;0;0;0;53;92;7493;4;0;0;7642
Hradište pod Vrátnom;;0;0;;;0;0;;;4;8;;0;0;12
Hraničná kontrola;0;0;0;;0;0;0;;1451;1819;3546;;0;0;6816
Hrboltová;0;0;0;0;0;0;0;0;12059;1363;29961;121;0;0;43504
Hrhov;2;127;11;0;4;129;16;0;1843;1306;6263;37;140;149;9449
Hrinište;0;69;0;0;0;71;0;0;817;852;8157;10;69;71;9836
Hrkovce;0;0;0;0;0;0;0;0;174;108;2003;4;0;0;2289
Hromoš;0;0;0;0;0;0;0;0;9;17;361;2;0;0;389
Hronec;79;11;4;;78;12;4;;0;0;0;;94;94;0
Hronovce;0;0;0;0;0;0;0;0;73;125;4653;1;0;0;4852
