;;;;KAPACITA  2025;;;;
  ŽSR vyjadruje voľnú kapacitu trate:;;;;;;;;
a)  využitím  priepustnej  výkonnosti pravidelnou vlakovou dopravou, ;;;;;;;;
b)  počtom voľných  vlakových trás.;;;;;;;;
;;;;;;;;
;Vysvetlivky:;OD   - osobná doprava;;P   - párny smer;;Ppp   - párny smer, vlaky podľa potreby;;
;;ND   - nákladná doprava;;N   - nepárny smer;;Npp   - nepárny smer, vlaky podľa potreby;;
;;;;;;;;
Trať;Traťový úsek;Obmedzujúci medzistaničný úsek;Smer;Počet  trás vlakov;;;Voľná kapacita (NVK);Stupeň obsadenia traťovej koľaje pravidelnou dopravou (So)
;;;;OD;ND;Kapacita (n);Využitie praktickej priepustnosti v % (Kvp);
110;Spišské Podhradie;Spišské Podhradie;Ppp;0;1;;33;
B;Spišské Vlachy;Spišské Vlachy;N;0;0;;0,0;
;;;Npp;0;1;;;
;;;P;0;1;39;;0,04
110;Levoča;Levoča;Ppp;0;1;;35;
C;Spišská Nová Ves;Spišská Nová Ves;N;0;1;;5,1;
;;;Npp;0;1;;;
;;;P;0;1;15;;0,04
111;Dobšiná;Dobšiná;Ppp;0;1;;11;
A;Rožňava;Nižná Slaná;N;0;1;;13,3;
;;;Npp;0;1;;;
;;;P;0;1;13;;0,08
111;Plešivec;Ochtiná;Ppp;0;1;;9;
B;Slavošovce;Slavošovce;N;0;1;;15,4;
;;;Npp;0;1;;;
;;;P;0;3;25;;0,20
111;Plešivec;Plešivec;Ppp;0;1;;18;
C;Muraň;Hucín;N;0;2;;20,0;
;;;Npp;0;1;;;
;;;P;0;1;29;;0,05
111;Medzev;Počkaj nz;Ppp;0;1;;25;
D;Moldava nad Bodvou;Moldava nad Bodvou;N;0;1;;6,9;
;;;Npp;0;1;;;
;;;P;3;1;40;;0,13
112;Plaveč;Plaveč;Ppp;0;1;;31;
A;Studený Potok;Stará Ľubovňa;N;2;1;;17,5;
;;;Npp;0;1;;;
;;;P;24;2;63;;0,37
112;Studený Potok;Matejovce pri Popr.;Ppp;0;1;;10;
A;Poprad-Tatry;Poprad-Tatry;N;23;2;;81,0;
;;;Npp;0;1;;;
;;;P;0;0;12;;0,00
112;Odb. Spišská Belá;Odb. Spišská Belá;Ppp;0;1;;10;
B;Spišská Belá;Spišská Belá;N;0;0;;0,0;
;;;Npp;0;1;;;
;;;P;8;0;34;;0,26
112;Tatranská Lomnica;Tatranská Lomnica;Ppp;0;0;;18;
C;Studený Potok;Studený Potok;N;8;0;;47,1;
;;;Npp;0;0;;;
;;;P;22;0;57;;0,30
112;Poprad-Tatry TEŽ;Veľký Slavkov;Ppp;0;0;;13;
D;Starý Smokovec;Pod Lesom;N;22;0;;77,0;
;;;Npp;0;1;;;
;;;P;22;0;57;;0,51
112;Starý Smokovec;Vyšné Hágy;Ppp;0;0;;13;
D;Štrbské Pleso (TEŽ);Štrbské Pleso (TEŽ);N;22;0;;76,9;
;;;Npp;0;0;;;
;;;P;20;0;49;;0,46
112;Starý Smokovec;Starý Smokovec;Ppp;0;0;;9;
E;Tatranská Lomnica;Tatranská Lomnica;N;20;0;;81,1;
;;;Npp;0;0;;;
;;;P;26;0;66;;0,77
112;Štrbské Pleso OŽ;Štrbské Pleso OŽ;Ppp;0;0;;14;
F;Štrba OŽ;Štrba OŽ;N;26;0;;78,5;
;;;Npp;0;0;;;
;;;P;12;2;57;;0,39
113;Trstená;Párnica;Ppp;0;1;;27;
A;Kraľovany;Kraľovany;N;12;2;;49,1;
;;;Npp;0;1;;;
;;;P;14;2;45;;0,68
114;Žilina;Lietavská Lúčka;Ppp;1;1;;9;
A;Rajec;Rajec;N;14;2;;71,1;
;;;Npp;1;1;;;
;;;P;23;0;95;;0,37
114;Čadca;Čierne pri Čadci;Ppp;0;1;;47;
B;Skalité;Skalité;N;23;0;;48,5;
;;;Npp;0;1;;;
;;;P;11;0;72;;0,28
114;Skalité;Skalité;Ppp;0;0;;50;
B;Zwardoń (PL);Zwardoń (PL);N;11;0;;30,6;
;;;Npp;0;0;;;
;;;P;15;0;42;;0,54
114;Čadca;Turzovka;Ppp;0;2;;8;
C;Makov;Makov;N;15;0;;71,4;
;;;Npp;0;2;;;
;;;P;16;7;86;;0,36
115;Plešivec;Hajnáčka;Ppp;0;2;;37;
A;Fiľakovo;Výh Urbánka;N;16;6;;52,3;
;;;Npp;0;2;;;
;;;P;23;10;98;;0,33
115;Fiľakovo;Vígľaš;Ppp;0;2;;26;
A;Zvolen;Výh Slatinka;N;23;12;;69,4;
;;;Npp;0;2;;;
;;;P;16;7;250;;0,13
115;Výh Urbánka;Výh Urbánka;Ppp;0;2;;201;
B;Fiľakovo St.3;Fiľakovo St.3;N;16;6;;18,0;
;;;Npp;0;2;;;
;;;P;0;2;126;;0,02
115;Bánréve (HU);Bánréve (HU);Ppp;0;0;;122;
C;Lenartovce;Lenartovce;N;0;2;;3,2;
;;;Npp;0;0;;;
;;;P;0;0;58;;0,00
115;Somoskőújfalu (HU);Somoskőújfalu (HU);Ppp;0;0;;58;
D;Fiľakovo;Fiľakovo;N;0;0;;0,0;
;;;Npp;0;0;;;
;;;P;7;1;32;;0,22
116;Červená Skala;Gašparovo;Ppp;0;1;;15;
A;Brezno;Brezno;N;6;1;;46,9;
;;;Npp;0;1;;;
;;;P;17;1;53;;0,42
116;Brezno ;Slovenská Ľupča;Ppp;0;1;;16;
A;Banská Bystrica;Banská Bystrica;N;16;1;;66,0;
;;;Npp;0;1;;;
;;;P;11;1;57;;0,32
116;Jesenské;Jesenské;Ppp;0;1;;31;
B;Rimavská Sobota;Rimavská Sobota;N;11;1;;42,1;
;;;Npp;1;1;;;
;;;P;11;0;41;;0,38
116;Rimavská Sobota;Hnúšťa;Ppp;0;2;;15;
B;Tisovec;Tisovec;N;11;0;;53,7;
;;;Npp;0;2;;;
;;;P;4;0;28;;0,21
116;Tisovec;Pohronská Polhora;Ppp;0;2;;16;
B;Brezno;Brezno;N;4;0;;28,6;
;;;Npp;0;2;;;
;;;P;13;1;38;;0,51
117;Utekáč;Breznička;Ppp;0;1;;8;
A;Lučenec;Lučenec;N;13;1;;73,7;
;;;Npp;0;1;;;
;;;P;0;0;20;;0,00
117;Breznička;Breznička ;Ppp;0;0;;20;
B;Katarínska Huta;Katarínska Huta;N;0;0;;0,0;
;;;Npp;0;0;;;
;;;P;0;0;11;;0,00
117;Lučenec;Nógrádszakál (HU);Ppp;0;2;;7;
C;Veľký Krtíš;Malé Straciny;N;0;0;;0,0;
;;;Npp;0;2;;;
;;;P;22;7;80;46;0,28
118;Zvolen;Zvolen;Ppp;0;5;;36,5;
A;Hronská Dúbrava;Hronská Dúbrava;N;23;9;79;42;0,29
;;;Npp;0;5;;40,7;
;;;P;5;1;51;;0,22
118;Hronská Dúbrava;Hronská Dúbrava;Ppp;0;2;;33;
A;Horná Štubňa;Bartošova Lehôtka;N;6;2;;27,5;
;;;Npp;0;2;;;
;;;P;23;7;82;47;0,30
118;Horná Štubňa;Diviaky;Ppp;0;5;;36,6;
A;Vrútky;Príbovce-Rakovo;N;23;8;81;45;0,31
;;;Npp;0;5;;38,3;
;;;P;40;0;96;;0,53
118;Zvolen os. st.;Zvolen os. st.;Ppp;0;2;;13;
D;Banská Bystrica;Sliač kúpele;N;39;0;;82,4;
;;;Npp;0;2;;;
;;;P;9;4;48;;0,35
118;Banská Bystrica;Uľanka;Ppp;0;2;;18;
D;Odb Dolná Štubňa;Harmanec Jaskyňa;N;9;4;;54,3;
;;;Npp;0;2;;;
;;;P;4;1;19;;0,32
119;Zvolen os. st.;Hontianske Tesáre;Ppp;0;1;;7;
A;Šahy;Šahy;N;4;1;;52,6;
;;;Npp;0;1;;;
